ticks,numWhites,numBlacks,numHerbivores,globalTemp,solarLuminosity
1,210,252,50,24.221268831131823,1.0
2,234,434,54,29.097185684442028,1.0
3,254,442,47,30.86204999918711,1.0
4,279,418,48,30.57834911024105,1.0
5,298,395,48,29.50477039366548,1.0
6,324,362,50,27.678405200509015,1.0
7,335,342,56,26.161953903647372,1.0
8,363,318,56,24.125168783649116,1.0
9,376,315,61,22.590939276416243,1.0
10,361,297,61,22.214022022109603,1.0
11,378,304,59,21.455343784576453,1.0
12,369,312,57,21.489699331304735,1.0
13,371,308,60,21.39371845962871,1.0
14,363,306,63,21.626427977017027,1.0
15,356,307,64,22.014662985010176,1.0
16,352,314,61,22.425545855368462,1.0
17,355,317,62,22.547216636454493,1.0
18,344,310,66,22.953418786879727,1.0
19,345,301,73,23.033077073542373,1.0
20,339,284,82,23.135376364155682,1.0
21,359,272,82,22.32239342318105,1.0
22,349,259,88,22.16648169518167,1.0
23,344,245,90,22.142176274536705,1.0
24,354,233,90,21.640645728762266,1.0
25,345,227,95,21.66984818930999,1.0
26,335,204,98,21.839509924886112,1.0
27,327,212,106,22.30055998308612,1.0
28,315,210,110,22.961686865744056,1.0
29,308,222,112,23.6692017172763,1.0
30,306,226,117,24.136117788082526,1.0
31,273,217,122,25.52029918775513,1.0
32,267,218,124,26.44679466180752,1.0
33,265,211,140,26.918129882969627,1.0
34,248,181,144,27.504322858403548,1.0
35,285,175,141,26.35351522574085,1.0
36,268,160,151,26.271915630040787,1.0
37,282,155,153,25.658699562437018,1.0
38,290,140,151,24.90900887219324,1.0
39,290,115,158,24.29536543410732,1.0
40,271,109,172,24.643266199328576,1.0
41,244,100,180,25.743087095711058,1.0
42,239,103,180,26.509030690472677,1.0
43,236,92,185,26.899357752198025,1.0
44,240,81,186,26.839548221824785,1.0
45,248,74,189,26.442976189944844,1.0
46,254,67,190,25.95297385747742,1.0
47,263,66,191,25.361141491778763,1.0
48,231,70,196,26.302648206457384,1.0
49,205,73,207,27.776419687108366,1.0
50,184,53,217,29.109251929804053,1.0
51,187,56,221,29.6918973970588,1.0
52,162,45,232,30.815035846855103,1.0
53,153,41,237,31.675676652625338,1.0
54,170,39,235,31.449810131663657,1.0
55,178,32,240,30.97020960448942,1.0
56,171,33,244,31.00228959020135,1.0
57,157,37,249,31.581193929092564,1.0
58,181,26,259,30.866163535643718,1.0
59,169,25,263,30.948802116195843,1.0
60,149,27,263,31.758734755567552,1.0
61,151,20,273,32.02188665905759,1.0
62,142,17,281,32.462086115393284,1.0
63,125,9,281,33.242853530222355,1.0
64,118,5,282,33.85735786834316,1.0
65,136,3,287,33.47094763847366,1.0
66,131,2,287,33.45556797523511,1.0
67,134,0,296,33.31634787092983,1.0
68,114,0,311,33.996247320435714,1.0
69,106,0,306,34.636000845852074,1.0
70,84,0,311,35.780338060384636,1.0
71,76,0,313,36.652310468314255,1.0
72,73,0,326,37.200723097527934,1.0
73,63,0,319,37.84968416296398,1.0
74,57,0,326,38.399017546179515,1.0
75,56,0,345,38.71115971287037,1.0
76,71,0,357,38.30509866997179,1.0
77,65,0,371,38.326920999020054,1.0
78,53,0,373,38.78753786453929,1.0
79,40,0,382,39.505027473376956,1.0
80,24,0,377,40.46337987912263,1.0
81,12,0,379,41.39226178299055,1.0
82,10,0,388,41.931653685090346,1.0
83,9,0,393,42.23882511122321,1.0
84,9,0,387,42.39241082428964,1.0
85,13,0,378,42.31930178049114,1.0
86,15,0,379,42.207796308426005,1.0
87,8,0,380,42.41437189797398,1.0
88,6,0,386,42.59261064291376,1.0
89,5,0,375,42.71920549046657,1.0
90,4,0,370,42.81997838932594,1.0
91,5,0,375,42.83288936367263,1.0
92,1,0,375,42.98924675117772,1.0
93,2,0,382,43.029949969847316,1.0
94,0,0,372,43.12525252934801,1.0
95,0,0,368,43.172903809098365,1.0
96,0,0,366,43.196729448973464,1.0
97,0,0,373,43.208642268911056,1.0
98,0,0,360,43.21459867887988,1.0
99,0,0,359,43.21757688386431,1.0
100,0,0,356,43.219065986356476,1.0
101,0,0,364,43.219810537602555,1.0
102,0,0,357,43.22018281322556,1.0
103,0,0,347,43.22036895103714,1.0
104,0,0,359,43.22046201994293,1.0
105,0,0,346,43.22050855439576,1.0
106,0,0,335,43.22053182162219,1.0
107,0,0,340,43.22054345523548,1.0
108,0,0,347,43.22054927204207,1.0
109,0,0,344,43.220552180445345,1.0
110,0,0,345,43.22055363464707,1.0
111,0,0,332,43.220554361747816,1.0
112,0,0,338,43.22055472529829,1.0
113,0,0,321,43.22055490707345,1.0
114,0,0,315,43.220554997961095,1.0
115,0,0,315,43.22055504340483,1.0
116,0,0,308,43.22055506612672,1.0
117,0,0,313,43.22055507748767,1.0
118,0,0,316,43.22055508316818,1.0
119,0,0,295,43.22055508600849,1.0
120,0,0,288,43.22055508742854,1.0
121,0,0,286,43.22055508813864,1.0
122,0,0,264,43.22055508849357,1.0
123,0,0,259,43.22055508867111,1.0
124,0,0,243,43.220555088759795,1.0
125,0,0,229,43.220555088804176,1.0
126,0,0,227,43.22055508882643,1.0
127,0,0,228,43.22055508883757,1.0
128,0,0,223,43.220555088843064,1.0
129,0,0,229,43.220555088845835,1.0
130,0,0,231,43.2205550888472,1.0
131,0,0,228,43.22055508884793,1.0
132,0,0,224,43.22055508884828,1.0
133,0,0,210,43.220555088848506,1.0
134,0,0,202,43.220555088848755,1.0
135,0,0,189,43.22055508884909,1.0
136,0,0,170,43.220555088849096,1.0
137,0,0,159,43.220555088849096,1.0
138,0,0,141,43.220555088849096,1.0
139,0,0,124,43.220555088849096,1.0
140,0,0,119,43.220555088849096,1.0
141,0,0,117,43.220555088849096,1.0
142,0,0,95,43.220555088849096,1.0
143,0,0,83,43.220555088849096,1.0
144,0,0,78,43.220555088849096,1.0
145,0,0,67,43.220555088849096,1.0
146,0,0,69,43.220555088849096,1.0
147,0,0,56,43.220555088849096,1.0
148,0,0,46,43.220555088849096,1.0
149,0,0,41,43.220555088849096,1.0
150,0,0,39,43.220555088849096,1.0
151,0,0,38,43.220555088849096,1.0
152,0,0,31,43.220555088849096,1.0
153,0,0,25,43.220555088849096,1.0
154,0,0,26,43.220555088849096,1.0
155,0,0,20,43.220555088849096,1.0
156,0,0,18,43.220555088849096,1.0
157,0,0,18,43.220555088849096,1.0
158,0,0,12,43.220555088849096,1.0
159,0,0,12,43.220555088849096,1.0
160,0,0,10,43.220555088849096,1.0
161,0,0,10,43.220555088849096,1.0
162,0,0,6,43.220555088849096,1.0
163,0,0,6,43.220555088849096,1.0
164,0,0,6,43.220555088849096,1.0
165,0,0,7,43.220555088849096,1.0
166,0,0,6,43.220555088849096,1.0
167,0,0,7,43.220555088849096,1.0
168,0,0,7,43.220555088849096,1.0
169,0,0,4,43.220555088849096,1.0
170,0,0,4,43.220555088849096,1.0
171,0,0,4,43.220555088849096,1.0
172,0,0,4,43.220555088849096,1.0
173,0,0,4,43.220555088849096,1.0
174,0,0,4,43.220555088849096,1.0
175,0,0,2,43.220555088849096,1.0
176,0,0,2,43.220555088849096,1.0
177,0,0,2,43.220555088849096,1.0
178,0,0,1,43.220555088849096,1.0
179,0,0,1,43.220555088849096,1.0
180,0,0,0,43.220555088849096,1.0
181,0,0,0,43.220555088849096,1.0
182,0,0,0,43.220555088849096,1.0
183,0,0,0,43.220555088849096,1.0
184,0,0,0,43.220555088849096,1.0
185,0,0,0,43.220555088849096,1.0
186,0,0,0,43.220555088849096,1.0
187,0,0,0,43.220555088849096,1.0
188,0,0,0,43.220555088849096,1.0
189,0,0,0,43.220555088849096,1.0
190,0,0,0,43.220555088849096,1.0
191,0,0,0,43.220555088849096,1.0
192,0,0,0,43.220555088849096,1.0
193,0,0,0,43.220555088849096,1.0
194,0,0,0,43.220555088849096,1.0
195,0,0,0,43.220555088849096,1.0
196,0,0,0,43.220555088849096,1.0
197,0,0,0,43.220555088849096,1.0
198,0,0,0,43.220555088849096,1.0
199,0,0,0,43.220555088849096,1.0
200,0,0,0,43.220555088849096,1.0
201,0,0,0,43.220555088849096,1.0
202,0,0,0,43.220555088849096,1.0
203,0,0,0,43.220555088849096,1.0
204,0,0,0,43.220555088849096,1.0
205,0,0,0,43.220555088849096,1.0
206,0,0,0,43.220555088849096,1.0
207,0,0,0,43.220555088849096,1.0
208,0,0,0,43.220555088849096,1.0
209,0,0,0,43.220555088849096,1.0
210,0,0,0,43.220555088849096,1.0
211,0,0,0,43.220555088849096,1.0
212,0,0,0,43.220555088849096,1.0
213,0,0,0,43.220555088849096,1.0
214,0,0,0,43.220555088849096,1.0
215,0,0,0,43.220555088849096,1.0
216,0,0,0,43.220555088849096,1.0
217,0,0,0,43.220555088849096,1.0
218,0,0,0,43.220555088849096,1.0
219,0,0,0,43.220555088849096,1.0
220,0,0,0,43.220555088849096,1.0
221,0,0,0,43.220555088849096,1.0
222,0,0,0,43.220555088849096,1.0
223,0,0,0,43.220555088849096,1.0
224,0,0,0,43.220555088849096,1.0
225,0,0,0,43.220555088849096,1.0
226,0,0,0,43.220555088849096,1.0
227,0,0,0,43.220555088849096,1.0
228,0,0,0,43.220555088849096,1.0
229,0,0,0,43.220555088849096,1.0
230,0,0,0,43.220555088849096,1.0
231,0,0,0,43.220555088849096,1.0
232,0,0,0,43.220555088849096,1.0
233,0,0,0,43.220555088849096,1.0
234,0,0,0,43.220555088849096,1.0
235,0,0,0,43.220555088849096,1.0
236,0,0,0,43.220555088849096,1.0
237,0,0,0,43.220555088849096,1.0
238,0,0,0,43.220555088849096,1.0
239,0,0,0,43.220555088849096,1.0
240,0,0,0,43.220555088849096,1.0
241,0,0,0,43.220555088849096,1.0
242,0,0,0,43.220555088849096,1.0
243,0,0,0,43.220555088849096,1.0
244,0,0,0,43.220555088849096,1.0
245,0,0,0,43.220555088849096,1.0
246,0,0,0,43.220555088849096,1.0
247,0,0,0,43.220555088849096,1.0
248,0,0,0,43.220555088849096,1.0
249,0,0,0,43.220555088849096,1.0
250,0,0,0,43.220555088849096,1.0
251,0,0,0,43.220555088849096,1.0
252,0,0,0,43.220555088849096,1.0
253,0,0,0,43.220555088849096,1.0
254,0,0,0,43.220555088849096,1.0
255,0,0,0,43.220555088849096,1.0
256,0,0,0,43.220555088849096,1.0
257,0,0,0,43.220555088849096,1.0
258,0,0,0,43.220555088849096,1.0
259,0,0,0,43.220555088849096,1.0
